Binary String Length,Almost Balanced redundancy in bits
0,0.0
1,1.0
2,0.0
3,1.0
4,2.0
5,3.0
6,2.0
7,3.0
8,2.0
9,3.0
10,2.0
11,3.0
12,2.0
13,3.0
14,2.0
15,3.0
16,4.0
17,3.0
18,4.0
19,3.0
20,2.0
21,3.0
22,4.0
23,3.0
24,2.0
25,3.0
26,4.0
27,3.0
28,2.0
29,3.0
30,4.0
31,3.0
32,2.0
33,3.0
34,4.0
35,3.0
36,2.0
37,3.0
38,2.0
39,3.0
40,2.0
41,3.0
42,2.0
43,3.0
44,2.0
45,3.0
46,2.0
47,3.0
48,2.0
49,3.0
50,2.0
51,3.0
52,2.0
53,3.0
54,2.0
55,3.0
56,2.0
57,3.0
58,2.0
59,3.0
60,2.0
61,1.0
62,2.0
63,3.0
64,2.0
65,1.0
66,2.0
67,3.0
68,2.0
69,1.0
70,2.0
71,3.0
72,2.0
73,3.0
74,2.0
75,3.0
76,2.0
77,3.0
78,2.0
79,1.0
80,2.0
81,3.0
82,2.0
83,1.0
84,2.0
85,3.0
86,2.0
87,1.0
88,2.0
89,3.0
90,2.0
91,1.0
92,2.0
93,3.0
94,2.0
95,1.0
96,2.0
97,3.0
98,2.0
99,1.0
100,2.0
101,1.0
102,2.0
103,1.0
104,2.0
105,1.0
106,2.0
107,1.0
108,2.0
109,1.0
110,2.0
111,3.0
112,2.0
113,1.0
114,2.0
115,3.0
116,2.0
117,1.0
118,2.0
119,1.0
120,2.0
121,1.0
122,2.0
123,1.0
124,2.0
125,1.0
126,2.0
127,1.0
128,2.0
129,1.0
130,2.0
131,1.0
132,2.0
133,1.0
134,2.0
135,1.0
136,2.0
137,1.0
138,2.0
139,1.0
140,2.0
141,1.0
142,2.0
143,1.0
144,2.0
145,1.0
146,2.0
147,1.0
148,2.0
149,1.0
150,2.0
